,table1,col1,table2,col2,sim_score
496,Falting2021-04,Clarification,Zhang2016-11,Clarity,0.3018542
497,Zhang2016-11,Clarity,Falting2021-04,Clarification,0.3018542
498,Yang2017-01,Disambiguation,Failgey1981-10,Punctuation,0.30059475
499,Failgey1981-10,Punctuation,Yang2017-01,Disambiguation,0.30059475
500,Yang2017-01,Elaboration,Zhang2015-06,Organization,0.3003731
501,Zhang2015-06,Organization,Yang2017-01,Elaboration,0.3003731
502,Daxenberger2012-09,Reference-Deletion,Guo2022-16,Forward Reference,0.30003262
503,Guo2022-16,Forward Reference,Daxenberger2012-09,Reference-Deletion,0.30003262
504,Guo2022-16,Forward Reference,Daxenberger2013-17,Reference-Deletion,0.30003262
505,Daxenberger2013-17,Reference-Deletion,Guo2022-16,Forward Reference,0.30003262
506,Daxenberger2012-09,Relocation,Failgey1981-10,Punctuation,0.29986635
507,Failgey1981-10,Punctuation,Daxenberger2012-09,Relocation,0.29986635
508,Failgey1981-10,Punctuation,Daxenberger2013-17,Relocation,0.29986635
509,Daxenberger2013-17,Relocation,Failgey1981-10,Punctuation,0.29986635
510,Yang2016-08,Reference-Deletion,Guo2022-16,Forward Reference,0.29954758
511,Guo2022-16,Forward Reference,Yang2016-08,Reference-Deletion,0.29954758
512,Zhang2015-06,Rebuttal/Reservation,Daxenberger2012-09,Relocation,0.29953536
513,Du2022-07,Coherence,Guo2022-16,Forward Reference,0.29903483
514,Guo2022-16,Forward Reference,Du2022-07,Coherence,0.29903483
515,Zhang2015-06,Rebuttal/Reservation,Daxenberger2013-17,Relocation,0.29858655
516,Daxenberger2012-09,Relocation,Zhang2015-06,Rebuttal/Reservation,0.29858655
517,Daxenberger2013-17,Relocation,Zhang2015-06,Rebuttal/Reservation,0.29858655
518,Pfeil2006-12,Vandalism,Guo2022-16,Emotionalism,0.2984973
519,Guo2022-16,Emotionalism,Pfeil2006-12,Vandalism,0.2984973
520,Anthonio2020-03,Information Deletion,Jones2008-13,Significant Deletion,0.29823464
521,Jones2008-13,Significant Deletion,Anthonio2020-03,Information Deletion,0.29823464
522,Spangher2022-05,Addition,Daxenberger2013-17,Relocation,0.29766
523,Daxenberger2013-17,Relocation,Spangher2022-05,Addition,0.29766
524,Yang2017-01,Disambiguation,Spangher2022-05,Deletion,0.2970167
525,Spangher2022-05,Deletion,Yang2017-01,Disambiguation,0.2970167
526,Yang2017-01,Point of View,Rajagopal2022-02,Point-of-view Change,0.29658931
527,Rajagopal2022-02,Point-of-view Change,Yang2017-01,Point of View,0.29658931
528,Daxenberger2012-09,Relocation,Jones2008-13,Disambiguation,0.29612225
529,Jones2008-13,Disambiguation,Daxenberger2012-09,Relocation,0.29612225
530,Jones2008-13,Disambiguation,Daxenberger2013-17,Relocation,0.29612225
531,Daxenberger2013-17,Relocation,Jones2008-13,Disambiguation,0.29612225
532,Failgey1981-10,Abbreviation,Pfeil2006-12,Add Information,0.29529557
533,Pfeil2006-12,Add Information,Failgey1981-10,Abbreviation,0.29529557
534,Zhang2015-06,Evidence,Du2022-07,Coherence,0.2944635
535,Du2022-07,Coherence,Zhang2015-06,Evidence,0.2944635
536,Zhang2015-06,Conventions/Grammar/Spelling,Failgey1981-10,Spelling,0.29286075
537,Failgey1981-10,Spelling,Zhang2015-06,Conventions/Grammar/Spelling,0.29286075
538,Anthonio2020-03,Information Deletion,Guo2022-16,Citation,0.29203317
539,Guo2022-16,Citation,Anthonio2020-03,Information Deletion,0.29203317
540,Jones2008-13,Vandalism,Guo2022-16,Emotionalism,0.29125008
541,Guo2022-16,Emotionalism,Jones2008-13,Vandalism,0.29125008
542,Jones2008-13,Significant Addition,Liu2014-14,Sentence modification,0.29123342
543,Liu2014-14,Sentence modification,Jones2008-13,Significant Addition,0.29123342
544,Yang2016-08,Rephrase,Liu2014-14,Revert,0.2907493
545,Liu2014-14,Revert,Yang2016-08,Rephrase,0.2907493
546,Pfeil2006-12,Style/Typography,Jones2008-13,Style or readability,0.29004595
547,Jones2008-13,Style or readability,Pfeil2006-12,Style/Typography,0.29004595
548,Jones2008-13,Significant Addition,Liu2014-14,Link modification,0.2892694
549,Liu2014-14,Link modification,Jones2008-13,Significant Addition,0.2892694
550,Falting2021-04,Disambiguation,Spangher2022-05,Deletion,0.28908995
551,Spangher2022-05,Deletion,Falting2021-04,Disambiguation,0.28908995
552,Liu2014-14,Reference deletion,Guo2022-16,Forward Reference,0.28901318
553,Guo2022-16,Forward Reference,Liu2014-14,Reference deletion,0.28901318
554,Yang2017-01,Verification,Anthonio2020-03,Information Modification/Insertion,0.28804776
555,Yang2017-01,Wikification,Anthonio2020-03,Information Modification/Insertion,0.28804776
556,Anthonio2020-03,Information Modification/Insertion,Yang2017-01,Verification,0.28804776
557,Anthonio2020-03,Information Modification/Insertion,Yang2017-01,Wikification,0.28804776
558,Rajagopal2022-02,Point-of-view Change,Falting2021-04,Point of View,0.28796846
559,Falting2021-04,Point of View,Rajagopal2022-02,Point-of-view Change,0.28796846
