,table1,col1,table2,col2,sim_score
4457,Zhang2015-06,Word-usage/Clarity,Daxenberger2013-17,File-Insertion,0.08696429604550415
4458,Zhang2015-06,Word-usage/Clarity,Daxenberger2013-17,File-Modification,0.08696429604550415
4459,Zhang2015-06,Word-usage/Clarity,Daxenberger2013-17,Template-Deletion,0.08696429604550415
4460,Zhang2015-06,Claim/Ideas,Daxenberger2013-17,Information-Modification,0.08696429604550415
4461,Zhang2015-06,General Content,Daxenberger2013-17,Information-Modification,0.08696429604550415
4462,Zhang2015-06,Evidence,Daxenberger2013-17,Template-Insertion,0.08696429604550415
4463,Yang2016-08,Information-Insertion,Zhang2016-11,Claim/Ideas,0.08693589141767043
4464,Yang2016-08,Wikilink-Modification,Zhang2016-11,Conventions,0.08693589141767043
4465,Yang2016-08,Template-Modification,Zhang2016-11,Claim/Ideas,0.08693589141767043
4466,Yang2016-08,Template-Modification,Zhang2016-11,General Content,0.08693589141767043
4467,Yang2016-08,Template-Modification,Zhang2016-11,Conventions,0.08693589141767043
4468,Yang2016-08,Template-Modification,Zhang2016-11,Clarity,0.08693589141767043
4469,Yang2017-01,Simplification,Daxenberger2012-09,Template-Insertion,0.08693315875367383
